Trial,Item,SentenceBefore,SentenceAfter,IA_ID,Condition,List,Positive,Negative,Unrelated,Target,Comprehension,,,,,,,,,,,,,,
1,1,There were myths about mythical animals near the island.,There were myths about offshore animals near the island.,5,P/Neu,1,mythical,.,.,offshore,Were there myths about animals near the island?,,,,,,,,,,,,,,
2,2,We found the guests requests to be rather needy each evening.,We found the guests requests to be rather plain each evening.,9,N/Neu,1,.,needy,.,plain,Did the guests find the evening requests peculiar?,,,,,,,,,,,,,,
3,3,The discussion centered around spatial ideas and lasted for hours.,The discussion centered around secular ideas and lasted for hours.,5,UnNeu/Neu,1,.,.,spatial,secular,Was the discussion about innovative ideas?,,,,,,,,,,,,,,
4,4,The guests did not expect the culture to appear tolerable and were surprised.,The guests did not expect the culture to appear tolerable and were surprised.,1,Neu/Neu,1,.,.,.,tolerable,Did the culture on the island appear different than expected?,,,,,,,,,,,,,,
5,5,The psychologist agreed that sometimes mystical dreams would occur with her patients.,The psychologist agreed that sometimes colossal dreams would occur with her patients.,6,P/Neu,1,mystical,.,.,colossal,Can recurrent dreams sometimes be a topic of agreement among psychologists?,,,,,,,,,,,,,,
6,6,She believed that the demand for the product had become scarce since last month.,She believed that the demand for the product had become latent since last month.,11,N/Neu,1,.,scarce,.,latent,Has the demand for the product become insatiable since last month?,,,,,,,,,,,,,,
7,7,The college course featured readings about peculiar topics that were required.,The college course featured readings about forensic topics that were required.,7,UnNeu/Neu,1,.,.,peculiar,forensic,Does the college course require readings on eclectic topics?,,,,,,,,,,,,,,
8,8,The artist created apparent structures and was very successful.,The artist created apparent structures and was very successful.,4,Neu/Neu,1,.,.,.,apparent,Were the structures created by the artist abstract in nature?,,,,,,,,,,,,,,
9,9,Mary's attitude was clearly cautious last Wednesday after work.,Mary's attitude was clearly infernal last Wednesday after work.,5,P/Neu,1,cautious,.,.,infernal,Was Mary's attitude defiant after work last Wednesday?,,,,,,,,,,,,,,
10,10,The woman's attitude seemed unwell so the kids kept their distance.,The woman's attitude seemed slinky so the kids kept their distance.,5,N/Neu,1,.,unwell,.,slinky,Did the children keep their distance because the woman seemed unapproachable?,,,,,,,,,,,,,,
11,11,Dean said that the painting was really striped at the show.,Dean said that the painting was really fragile at the show.,8,UnNeu/Neu,1,.,.,striped,fragile,Was Dean's opinion of the painting at the show positive?,,,,,,,,,,,,,,
12,12,The decision reached by the judge came off as fairly momentary to the jury.,The decision reached by the judge came off as fairly momentary to the jury.,11,Neu/Neu,1,.,.,.,momentary,Did the jury consider the judge's decision impartial?,,,,,,,,,,,,,,
13,13,The art form's unique style was quite teeny and drew attention.,The art form's unique style was quite focal and drew attention.,8,P/Neu,1,teeny,.,.,focal,Was the art form's style deemed avant-garde?,,,,,,,,,,,,,,
14,14,"At the cafe, the waiter's inferior abilities stood out to his employer.","At the cafe, the waiter's remedial abilities stood out to his employer.",6,N/Neu,1,.,inferior,.,remedial,"In the cafe, were the waiter's customer service abilities exceptional?",,,,,,,,,,,,,,
15,15,In the cartoon there were several spotty looking animations that danced around the screen.,In the cartoon there were several sleepy looking animations that danced around the screen.,7,UnNeu/Neu,1,.,.,spotty,sleepy,Did the cartoon feature whimsical animations?,,,,,,,,,,,,,,
